,E06000001,E06000002,E06000003,E06000004,E06000005,E06000006,E06000007,E06000008,E06000009,E06000010,E06000011,E06000012,E06000013,E06000014,E06000015,E06000016,E06000017,E06000018,E06000019,E06000020,E06000021,E06000022,E06000023,E06000024,E06000025,E06000026,E06000027,E06000030,E06000031,E06000032,E06000033,E06000034,E06000035,E06000036,E06000037,E06000038,E06000039,E06000040,E06000041,E06000042,E06000043,E06000044,E06000045,E06000046,E06000047,E06000049,E06000050,E06000051,E06000052,E06000053,E06000054,E06000055,E06000056,E06000057,E06000058,E06000059,E06000060,E06000061,E06000062,E07000008,E07000009,E07000010,E07000011,E07000012,E07000026,E07000027,E07000028,E07000029,E07000030,E07000031,E07000032,E07000033,E07000034,E07000035,E07000036,E07000037,E07000038,E07000039,E07000040,E07000041,E07000042,E07000043,E07000044,E07000045,E07000046,E07000047,E07000061,E07000062,E07000063,E07000064,E07000065,E07000066,E07000067,E07000068,E07000069,E07000070,E07000071,E07000072,E07000073,E07000074,E07000075,E07000076,E07000077,E07000078,E07000079,E07000080,E07000081,E07000082,E07000083,E07000084,E07000085,E07000086,E07000087,E07000088,E07000089,E07000090,E07000091,E07000092,E07000093,E07000094,E07000095,E07000096,E07000098,E07000099,E07000102,E07000103,E07000105,E07000106,E07000107,E07000108,E07000109,E07000110,E07000111,E07000112,E07000113,E07000114,E07000115,E07000116,E07000117,E07000118,E07000119,E07000120,E07000121,E07000122,E07000123,E07000124,E07000125,E07000126,E07000127,E07000128,E07000129,E07000130,E07000131,E07000132,E07000133,E07000134,E07000135,E07000136,E07000137,E07000138,E07000139,E07000140,E07000141,E07000142,E07000143,E07000144,E07000145,E07000146,E07000147,E07000148,E07000149,E07000163,E07000164,E07000165,E07000166,E07000167,E07000168,E07000169,E07000170,E07000171,E07000172,E07000173,E07000174,E07000175,E07000176,E07000177,E07000178,E07000179,E07000180,E07000181,E07000187,E07000188,E07000189,E07000192,E07000193,E07000194,E07000195,E07000196,E07000197,E07000198,E07000199,E07000200,E07000202,E07000203,E07000207,E07000208,E07000209,E07000210,E07000211,E07000212,E07000213,E07000214,E07000215,E07000216,E07000217,E07000218,E07000219,E07000220,E07000221,E07000222,E07000223,E07000224,E07000225,E07000226,E07000227,E07000228,E07000229,E07000234,E07000235,E07000236,E07000237,E07000238,E07000239,E07000240,E07000241,E07000242,E07000243,E07000244,E07000245,E07000246,E08000001,E08000002,E08000003,E08000004,E08000005,E08000006,E08000007,E08000008,E08000009,E08000010,E08000011,E08000012,E08000013,E08000014,E08000015,E08000016,E08000017,E08000018,E08000019,E08000021,E08000022,E08000023,E08000024,E08000025,E08000026,E08000027,E08000028,E08000029,E08000030,E08000031,E08000032,E08000033,E08000034,E08000035,E08000036,E08000037,E09000001,E09000002,E09000003,E09000004,E09000005,E09000006,E09000007,E09000008,E09000009,E09000010,E09000011,E09000012,E09000013,E09000014,E09000015,E09000016,E09000017,E09000018,E09000019,E09000020,E09000021,E09000022,E09000023,E09000024,E09000025,E09000026,E09000027,E09000028,E09000029,E09000030,E09000031,E09000032,E09000033,S12000005,S12000006,S12000008,S12000010,S12000011,S12000013,S12000014,S12000017,S12000018,S12000019,S12000020,S12000021,S12000023,S12000026,S12000027,S12000028,S12000029,S12000030,S12000033,S12000034,S12000035,S12000036,S12000038,S12000039,S12000040,S12000041,S12000042,S12000045,S12000047,S12000048,S12000049,S12000050,W06000001,W06000002,W06000003,W06000004,W06000005,W06000006,W06000008,W06000009,W06000010,W06000011,W06000012,W06000013,W06000014,W06000015,W06000016,W06000018,W06000019,W06000020,W06000021,W06000022,W06000023,W06000024
E07000070,0,0,0,2,0,0,0,0,0,0,7,1,1,3,0,1,3,4,2,0,3,4,5,2,0,4,0,2,5,6,859,645,29,2,2,2,6,5,4,7,6,4,1,2,0,1,5,2,0,0,13,0,2,0,0,9,9,2,16,58,2,0,8,25,0,0,3,0,0,0,0,0,0,2,1,0,0,0,3,2,1,1,0,0,0,0,1,0,0,2,6,2755,1701,1373,401,71801,622,526,343,1179,544,86,852,2,0,0,0,0,1,9,2,2,3,3,9,0,1,2,0,2,59,18,31,17,8,9,3,4,48,3,11,9,12,1,2,3,13,4,0,0,0,0,0,0,2,0,0,3,1,0,0,0,0,2,0,0,0,1,0,1,3,0,2,2,8,2,0,3,5,5,8,0,3,0,2,0,0,0,1,0,0,0,0,0,1,1,0,2,0,2,1,0,2,2,0,0,0,0,2,0,1,22,54,17,7,4,2,5,5,3,6,1,6,0,3,0,1,2,3,5,6,3,0,24,3,4,3,0,0,0,0,1,0,32,30,166,12,20,38,0,0,0,8,2,0,0,0,0,0,1,0,1,0,2,1,0,2,0,0,0,3,2,0,18,6,3,4,3,0,0,4,0,1,1,2,0,710,378,38,30,22,27,202,9,28,89,38,125,47,40,7,916,28,14,144,42,2,73,21,7,313,309,2,114,10,434,154,25,355,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,3,1,1,0,0,0,0,0,0,0,2
E07000071,0,4,0,0,0,0,1,0,1,1,5,0,3,4,5,6,2,7,6,1,1,4,6,3,2,4,0,1,15,1,96,118,12,6,4,2,2,7,6,12,3,6,4,2,2,1,0,3,4,0,35,5,10,3,6,3,9,4,1,54,9,4,5,30,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,9,1,1,0,0,0,0,1,0,5,280,3031,113,51,1983,75122,92,74,1001,59,3329,503,1,4,1,2,0,3,6,0,0,2,2,7,1,3,5,2,7,23,2,11,17,11,14,4,2,21,1,12,9,3,1,4,1,5,4,0,0,0,0,1,0,1,1,0,0,0,0,0,0,3,2,0,1,0,0,3,1,2,0,8,1,7,6,9,8,3,20,21,0,1,7,11,0,0,0,0,0,5,0,0,0,2,5,4,2,6,6,2,0,3,1,2,7,1,0,2,1,2,1042,969,238,3,0,9,4,2,8,5,3,3,0,2,0,1,0,6,3,1,2,7,5,1,2,0,2,0,0,0,2,0,11,9,64,9,431,190,2,1,0,6,1,0,1,2,0,0,1,1,4,0,0,0,3,2,1,2,0,1,2,0,8,11,1,5,4,1,0,1,1,0,5,0,0,324,92,22,15,11,18,144,13,12,52,26,47,33,27,2,214,17,6,84,31,7,42,20,8,137,117,4,68,4,168,49,17,246,0,0,0,0,0,0,0,2,0,2,1,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,2,0,1,0,1,1,1,1,0,0,0,1,0,2,2,0,0,0,9,0,1,0,0,0,1,1,2,0
E07000072,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2,1,3,1,0,0,1,2,3,2,1,0,0,4,18,50,221,13,1,6,1,10,7,2,8,5,5,0,4,0,0,0,1,5,0,5,8,12,0,0,4,36,3,8,46,2,0,6,31,0,2,0,0,0,1,0,0,2,0,1,2,0,0,2,0,0,0,0,0,0,3,0,0,0,0,1,274,68,455,16,384,25,45280,1882,27,19,11,395,0,3,0,0,2,0,1,0,1,3,1,2,0,2,1,0,2,1184,35,142,24,21,38,1,1,53,0,4,6,15,0,2,0,15,3,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,3,3,1,2,3,0,1,1,2,0,0,2,2,1,0,0,0,0,0,0,3,3,0,1,1,2,4,0,6,0,0,0,0,3,0,2,4,3,6,3,3,1,3,14,3,2,4,3,3,1,0,1,1,2,1,0,1,4,2,0,0,0,1,3,0,0,1,79,184,771,49,3,12,0,0,1,2,0,0,0,2,0,1,0,0,2,0,2,1,2,2,1,1,1,3,0,0,12,2,1,6,2,1,0,2,0,0,2,0,0,974,475,223,35,72,24,574,19,50,1371,99,438,114,358,28,762,40,27,399,135,8,159,34,11,789,2261,13,221,7,1044,1681,61,921,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,2,0,0,1,1,1,1,0,0,0,1,0,0
E07000073,0,0,0,0,0,2,0,0,0,0,1,0,2,0,1,2,0,1,0,1,0,1,2,5,2,1,0,2,4,26,21,157,9,2,1,3,4,7,2,4,1,0,0,3,0,1,2,2,6,0,2,7,14,0,0,6,24,4,6,71,1,1,15,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,204,82,172,6,228,20,2540,32207,8,10,5,1042,0,0,3,0,0,3,0,0,0,2,0,2,0,1,1,0,0,1222,25,68,55,17,20,0,0,30,2,2,3,11,1,2,2,8,2,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,5,0,1,0,0,2,2,0,2,1,1,0,0,1,2,0,0,1,1,0,0,0,0,0,0,3,4,0,1,1,0,0,4,0,1,1,0,0,0,0,0,1,4,1,6,1,1,4,7,0,5,0,2,0,0,1,0,3,3,1,0,0,1,6,0,0,0,0,0,0,0,1,0,61,295,2577,107,1,19,6,0,0,3,0,0,0,2,0,3,0,1,4,2,0,1,0,0,2,1,0,0,0,0,5,2,2,4,4,0,0,6,0,1,1,0,0,215,131,128,15,34,9,191,11,21,882,41,116,40,234,18,268,29,16,117,47,2,51,9,8,233,279,4,80,4,237,497,20,241,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
E07000074,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,2,0,0,1,0,0,3,7,482,291,10,0,2,0,3,0,3,0,5,3,0,2,0,1,0,1,1,0,1,0,4,0,2,0,8,1,0,9,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,818,1097,232,177,3085,736,69,51,22193,260,47,124,0,0,0,1,0,2,4,0,0,1,1,1,0,1,1,0,2,11,1,11,2,2,1,1,0,22,0,6,3,4,5,2,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,2,1,1,0,0,2,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,3,1,1,0,2,0,0,1,1,0,2,0,0,2,0,2,31,27,9,3,2,0,0,4,2,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,5,24,2,9,12,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,2,2,1,2,0,1,1,0,0,124,117,11,3,2,8,24,2,3,28,20,24,15,10,0,246,4,0,30,5,2,17,5,2,83,87,1,21,1,112,35,6,94,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
E07000075,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,2,0,0,3,1,0,0,0,1,0,0,0,0,3,5372,542,16,0,2,0,0,1,2,6,5,0,0,1,0,1,0,2,4,0,6,1,3,0,4,5,12,1,0,3,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,1,0,0,1,2062,114,251,1249,1156,66,65,18,240,26644,3,63,0,0,0,0,0,0,2,0,0,3,2,4,0,3,3,0,1,9,1,8,1,2,5,4,2,29,0,10,7,4,0,4,1,6,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,3,0,5,0,0,0,0,1,1,1,0,0,4,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,2,1,0,0,0,0,2,0,0,4,1,1,3,0,7,1,0,4,0,2,3,0,0,0,0,0,0,0,0,0,1,14,3,1,0,0,0,0,0,1,0,5,7,19,6,10,9,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,1,1,0,1,2,1,1,0,0,5,1,0,1,3,0,0,0,0,0,1,0,0,382,230,14,18,13,16,106,8,7,32,19,52,27,18,2,371,9,9,56,14,1,48,5,3,176,147,1,61,7,199,53,12,214,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
E07000076,0,0,1,0,0,0,1,3,1,0,3,0,1,0,1,3,2,1,0,2,0,1,4,2,0,4,1,0,3,2,37,102,2,3,2,1,1,1,0,0,1,5,0,0,0,2,1,0,2,0,8,2,5,0,0,4,12,3,5,21,3,5,5,14,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,4,0,102,774,73,9,580,6731,74,30,187,30,45652,232,0,1,1,1,0,0,3,1,2,0,5,1,2,0,1,1,0,19,4,13,7,4,4,2,9,8,2,4,4,3,0,1,0,1,2,1,0,0,0,1,2,3,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,2,0,4,0,4,7,5,5,2,9,7,0,0,0,1,0,0,0,0,3,0,0,0,1,0,4,2,2,0,2,0,0,0,0,0,0,0,0,1,0,2,641,736,133,4,1,5,1,1,0,4,1,2,2,0,0,2,1,1,3,2,2,0,1,2,1,0,1,0,0,0,0,0,14,11,45,8,387,91,3,3,0,1,0,0,0,0,0,0,0,0,2,0,0,3,0,2,3,2,0,0,0,0,7,1,3,4,3,2,0,2,0,1,1,0,0,148,48,14,5,11,14,55,2,4,33,14,21,17,25,5,130,13,2,35,16,3,24,5,1,57,51,1,35,1,80,33,8,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1
E07000077,1,0,2,0,0,0,0,0,0,1,1,0,1,2,0,0,3,1,3,0,1,1,2,4,0,4,1,0,18,17,17,75,1,4,1,3,1,3,4,4,1,0,0,0,0,0,2,4,2,0,7,13,25,0,2,4,12,7,8,904,51,4,40,926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,1,0,0,0,0,1,0,1,84,1051,83,12,812,245,606,1037,50,16,96,33946,0,0,1,0,0,0,2,2,0,0,3,1,0,0,6,2,1,180,9,24,181,11,8,0,4,11,2,2,4,6,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,6,1,0,7,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,1,3,3,1,0,1,0,0,1,1,0,0,0,0,41,14,11,2,0,3,0,1,3,2,1,0,2,0,1,0,5,2,0,1,0,2,15,1,0,1,0,0,1,0,0,0,37,75,2465,68,14,240,3,1,0,3,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,2,6,0,4,2,0,0,1,0,0,8,1,0,232,75,34,9,10,10,79,3,10,182,12,69,12,38,8,114,18,9,63,23,1,37,7,2,113,140,3,45,1,141,160,12,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,0,1,3,0,0
E07000078,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,2,86,4,2,23,168,37,187,3,8,191,2,2,0,0,2,5,8,7,1,2,7,11,5,5,1,0,0,1,0,10,7,0,123,1,3,1,12,6,18,3,2,3,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,4,5,0,4,2,0,2,3,0,0,0,1,0,0,2,0,0,0,5,0,4,0,2,0,0,47241,1232,240,2977,932,3776,5,1,3,1,2,4,1,2,5,0,3,1,3,4,0,4,0,0,0,0,0,0,2,5,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,0,1,4,2,0,1,0,1,2,3,0,0,0,0,0,2,0,0,0,1,0,7,1,0,0,0,1,0,0,0,0,0,1,35,60,8,34,232,6,3,5,3,1,6,0,2,4,0,1,3,0,3,1,0,5,1,8,1,1,2,0,0,2,2,0,6,45,15,1,0,1,6,2,4,0,14,107,12,156,326,7,13,3,2,0,0,0,13,1,0,1,0,1,1,0,1,2,0,0,4,0,0,0,3,2,0,4,0,1,0,0,80,11,8,13,20,5,4,4,0,2,2,0,1,19,0,0,1,2,2,8,3,8,5,1,3,3,0,2,0,16,5,3,3,2,4,0,2,2,0,1,5,0,5,2,2,44,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,1,1,0,0,1,11,2,3,2,0,12,9,0,0
E07000079,0,0,0,0,2,1,0,0,0,0,4,0,0,7,0,0,1,2,21,1,1,49,128,14,171,4,2,1113,4,3,2,0,0,4,59,16,4,5,5,4,3,3,2,0,0,2,1,5,8,0,992,0,2,0,1,17,48,3,19,2,0,0,1,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,8,1,0,4,8,1,0,0,0,0,3,2,1,3,1,4,0,4,5,0,0,0,0,0,1,1019,34664,41,552,1011,567,7,0,0,3,2,3,0,1,8,5,11,0,3,1,0,1,1,0,0,0,3,1,1,3,0,1,0,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,2,0,0,0,2,0,2,1,2,2,0,2,0,0,0,0,1,1,3,3,2,4,0,2,0,0,2,0,0,0,0,159,148,31,255,1249,6,4,2,0,2,2,2,3,4,0,4,0,0,0,4,2,5,2,2,2,1,1,1,3,1,8,3,8,427,75,0,0,1,6,5,2,1,9,21,11,25,296,3,3,3,0,1,3,0,7,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,3,1,2,1,0,0,0,33,25,1,5,24,2,3,0,0,1,1,0,0,27,0,3,1,3,2,21,1,4,0,0,1,13,5,4,1,20,11,4,17,1,9,0,2,3,0,5,9,0,3,3,6,66,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,7,3,0,0,1,0,0,3,0,0,3,0,1,0,0,1,7,0,0,0,0,5,6,1,0
E07000080,0,0,0,0,3,0,0,0,0,2,0,0,1,0,2,0,3,2,1526,1,0,27,469,78,677,11,3,57,0,1,1,0,0,2,6,8,2,3,3,2,0,8,2,0,0,1,3,9,7,0,58,0,0,1,3,8,12,0,6,0,0,0,0,2,0,1,0,0,0,3,2,0,0,0,0,0,1,1,5,2,2,4,3,0,0,1,2,2,0,0,1,3,1,0,0,0,6,0,0,0,0,1,1,724,131,29236,2847,613,1228,4,1,0,4,1,5,0,0,5,2,4,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,4,0,2,0,3,0,0,0,0,0,0,0,0,0,2,1,7,0,0,0,0,2,0,0,0,0,0,5,8,3,10,36,2,4,3,0,0,1,0,0,8,2,0,0,0,1,1,0,4,1,0,0,3,3,1,2,1,1,0,3,4,7,0,0,3,3,5,1,1,13,113,6,51,57,8,1,1,1,2,1,1,10,0,2,1,0,0,0,1,0,1,0,0,1,0,0,3,0,1,0,1,0,2,1,0,20,3,2,3,5,1,3,1,1,0,2,1,0,2,1,1,0,0,2,2,1,3,0,0,1,1,0,1,0,13,0,1,0,2,0,3,0,1,1,1,2,0,2,0,3,12,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,5,0,4,6,13,5,76,10,14,6,45,1199,126,6,3
E07000081,0,0,0,2,0,0,1,1,0,0,5,0,0,6,4,1,1,0,214,1,4,40,298,50,621,12,1,208,2,0,0,0,1,6,21,3,1,1,5,4,1,5,1,0,0,1,1,5,10,0,101,6,6,0,8,10,15,6,5,1,0,0,1,4,0,2,0,0,0,2,0,0,2,2,0,0,2,0,2,5,1,4,1,1,1,2,0,0,0,0,0,4,0,0,0,3,3,3,3,1,0,2,4,3335,723,1126,47679,4820,4950,2,1,0,3,3,7,0,1,3,0,4,0,9,0,0,3,0,0,1,1,2,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,2,0,2,0,2,0,0,0,0,1,8,4,0,1,0,0,3,0,0,0,0,1,15,18,8,12,94,9,10,13,2,0,5,0,1,4,1,3,0,0,0,3,0,3,1,1,3,0,1,1,2,2,1,2,2,17,11,0,1,1,1,1,0,0,22,67,13,87,123,11,7,5,0,1,7,4,22,3,1,4,0,0,0,0,0,3,0,0,2,0,0,3,1,3,2,3,0,3,0,0,49,14,14,18,10,3,3,0,0,3,7,1,0,11,1,0,0,2,2,15,1,7,0,3,1,4,2,1,1,7,2,1,2,5,2,0,0,2,0,3,5,3,0,9,2,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,2,2,0,8,21,2,5,2,10,28,13,11,0
E07000082,0,0,0,0,1,1,0,0,0,0,2,0,0,0,4,0,1,3,70,1,1,105,896,127,1886,5,0,297,0,1,0,1,4,4,10,10,4,5,7,3,0,3,0,1,1,3,2,5,7,0,431,1,2,0,8,11,9,1,7,0,0,0,2,1,2,1,0,0,0,1,3,2,0,0,0,0,1,0,3,1,0,5,3,2,0,0,0,1,0,2,0,0,0,2,0,0,4,0,3,1,0,0,1,1245,1803,336,3749,46782,1135,1,0,1,2,2,4,0,1,3,4,8,0,4,2,0,6,0,2,0,0,0,0,2,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,3,0,2,0,2,0,11,12,11,32,65,3,14,5,0,1,2,0,1,2,0,4,0,0,1,2,0,5,0,1,0,0,0,0,0,0,2,1,1,6,5,1,0,0,0,1,0,0,9,39,4,26,48,1,2,1,0,0,0,0,22,0,3,2,0,1,0,0,0,0,0,0,2,0,0,0,2,1,1,5,0,0,0,0,35,6,6,1,14,0,7,0,1,0,1,4,1,14,1,0,0,1,0,15,2,1,3,0,0,5,2,0,2,8,7,3,4,0,5,2,0,0,0,1,3,0,4,6,3,22,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,3,0,0,3,19,4,5,1,7,43,19,6,3
E07000083,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,1,2,159,4,1,12,122,31,200,6,3,104,1,0,0,0,1,2,15,3,2,4,5,11,0,6,0,0,1,1,2,8,4,0,106,0,4,2,5,6,9,1,11,0,1,0,2,0,0,2,0,0,0,1,0,1,0,2,0,0,0,1,2,3,0,3,1,0,2,0,0,0,0,0,0,0,1,0,0,0,4,0,0,2,0,0,0,5908,944,478,4360,897,30852,1,0,0,3,0,4,1,5,2,3,2,0,8,2,0,1,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,3,0,0,0,1,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,5,0,1,0,1,0,1,3,2,3,0,0,0,0,5,0,1,0,0,1,3,0,0,0,0,22,35,12,23,137,1,3,8,1,3,4,0,1,4,0,2,2,0,0,1,1,6,2,3,0,0,3,0,0,2,4,0,6,79,27,0,0,3,4,2,0,0,27,307,25,239,659,12,3,0,2,0,0,1,3,0,0,3,1,0,0,0,0,0,0,2,0,2,0,1,1,2,1,1,0,0,0,0,76,16,17,20,26,8,9,0,0,3,0,0,2,13,0,1,0,3,4,5,1,6,2,4,2,6,0,0,0,13,5,3,3,0,1,2,1,0,0,0,0,1,1,1,1,20,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,1,0,0,6,3,1,0,2,21,3,0,0
E07000084,0,0,0,0,0,1,5,0,1,3,1,1,0,2,3,3,1,1,6,0,0,2,12,3,14,4,0,42,2,8,5,3,2,385,5361,1145,145,190,636,4,4,62,215,4,2,5,4,10,6,0,211,1,3,3,51,25,117,0,12,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,3,0,1,1,5,0,1,1,0,0,4,1,0,0,3,7,1,2,0,0,0,5,1,5,2,5,1,5,78529,777,163,84,11,1987,20,70,729,824,1155,5,15,5,0,7,10,5,7,7,0,4,3,5,1,2,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,4,0,0,0,10,0,0,2,0,2,0,0,0,4,4,1,0,0,1,0,0,0,0,1,0,55,34,86,114,18,4,0,10,0,0,0,0,1,1,0,1,2,1,1,58,11,292,27,24,110,74,490,4,293,143,0,2,1,3,6,3,4,27,22,11,1,1,5,0,0,0,2,0,17,12,2,8,2,1,7,1,1,3,0,0,2,0,0,0,0,0,4,0,1,1,0,2,0,0,0,0,0,0,16,3,2,9,2,2,0,7,2,3,6,0,1,104,5,8,3,27,8,47,27,47,6,6,10,48,6,5,3,263,152,36,63,35,52,3,22,15,0,48,55,14,42,9,46,198,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,9,1,1,2,0,0,1,3,0
E07000085,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,3,0,1,3,3,3,2,9,2,3,1,4,0,2,1,93,126,50,40,40,60,6,10,1460,177,7,0,4,0,2,9,0,65,0,2,0,16,15,36,0,2,4,0,0,1,5,0,1,1,0,1,0,1,1,0,1,0,0,0,0,4,0,0,0,5,3,0,1,2,0,7,1,0,1,1,0,0,0,0,2,0,0,0,0,6,2,1,0,0,1,2,853,45833,141,386,78,651,1461,46,671,93,1097,2,8,2,1,7,2,1,1,1,5,5,5,2,0,0,2,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,14,9,8,4,6,1,2,8,0,0,3,1,0,0,1,0,0,2,0,151,17,1327,29,26,76,33,353,8,3113,190,1,1,0,0,2,3,52,1306,33,53,8,8,0,0,0,0,1,0,5,3,2,0,1,0,3,0,1,4,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,7,1,0,7,1,1,0,0,1,2,1,0,0,75,3,4,1,11,8,33,9,37,2,3,4,35,0,3,1,137,65,14,34,61,43,1,44,6,0,42,28,23,22,3,50,142,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,1,2,0,0,0,0,1,2,0,0
